KEY,R3,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),ADDRESS,CITY,STATE,LATITUDE,LONGITUDE,HOME TYPE,ZIP,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,LAST SALE DATE,FAVORITE,INTERESTED,IS SHORT SALE,LAST SALE PRICE
140010972,972,http://www.redfin.com/CA/El-Cajon/159-W-Chase-Ave-92020/home/5613024,159 W Chase Ave,El Cajon,CA,32.779887,-116.96321,Single Family Residential,92020,3,2,El Cajon,1309,3366,1997,3,Garage,5/15/14,N,Y,FALSE,325000
140036691,691,http://www.redfin.com/CA/El-Cajon/1325-S-Orange-Ave-92020/home/5613929,1325 S Orange,El Cajon,CA,32.777923,-116.963405,Single Family Residential,92020,4,3,El Cajon,2120,,1974,8,,8/26/14,N,Y,FALSE,430000
140056333,333,http://www.redfin.com/CA/El-Cajon/962-Wilson-Ave-92020/home/5610074,962 WILSON Ave,El Cajon,CA,32.782684,-116.975322,Single Family Residential,92020,2,1,El Cajon,828,,1951,4,Garage,11/21/14,N,Y,FALSE,319900
140009093,93,http://www.redfin.com/CA/El-Cajon/1178-Eucalyptus-Dr-92020/home/5610094,1178 Eucalyptus Dr,El Cajon,CA,32.783036,-116.97626,Single Family Residential,92020,3,2,El Cajon,1501,7400,1975,3,,5/19/14,N,Y,FALSE,370000
140027463,463,http://www.redfin.com/CA/El-Cajon/1012-Wilson-Ave-92020/home/5610168,1012 Wilson Ave,El Cajon,CA,32.782018,-116.975894,Single Family Residential,92020,2,1,El Cajon,914,4792,1956,3,Garage,6/26/14,N,Y,FALSE,311000
150009383,383,http://www.redfin.com/CA/El-Cajon/1091-Nidrah-St-92020/home/5613272,1091 Nidrah,El Cajon,CA,32.7806676,-116.9759627,Single Family Residential,92020,5,2,El Cajon,1770,,1967,3,Garage,3/27/15,N,Y,FALSE,471500
140035549,549,http://www.redfin.com/CA/El-Cajon/1132-Mona-Pl-92020/home/5614133,1132 Mona Pl,El Cajon,CA,32.779959,-116.975101,Single Family Residential,92020,4,2,El Cajon,1870,6200,1968,4,Garage,9/11/14,N,Y,FALSE,480000
140034934,934,http://www.redfin.com/CA/El-Cajon/258-N-Pierce-St-92020/home/5589247,258 N PIERCE,El Cajon,CA,32.7971423,-116.9776941,Single Family Residential,92020,3,1,El Cajon,1025,6900,1952,4,Garage,7/21/14,N,Y,FALSE,319900
140015273,273,http://www.redfin.com/CA/El-Cajon/305-El-Monte-Rd-92020/home/5589635,305 El Monte Rd,El Cajon,CA,32.79726,-116.978197,Single Family Residential,92020,2,1,El Cajon,995,,1952,6,Garage,6/13/14,N,Y,FALSE,337000
150010466,466,http://www.redfin.com/CA/El-Cajon/1092-Helix-Village-Dr-92020/home/5606851,1092 Helix Vlg,El Cajon,CA,32.780463,-116.977901,Single Family Residential,92020,4,3,El Cajon,2254,,1980,4,Garage,4/22/15,N,Y,FALSE,435000
150004611,611,http://www.redfin.com/CA/El-Cajon/1046-Helix-Village-Dr-92020/home/5606882,1046 Helix Vlg,El Cajon,CA,32.781244,-116.977906,Single Family Residential,92020,3,3,El Cajon,2038,,1979,4,Garage,4/27/15,N,Y,FALSE,440000
140057761,761,http://www.redfin.com/CA/El-Cajon/1172-W-Chase-Ave-92020/home/5610212,1172 W Chase,El Cajon,CA,32.782436,-116.97727,Single Family Residential,92020,2,2,El Cajon,1267,7400,1948,3,Garage,2/6/15,N,Y,FALSE,320000
140037564,564,http://www.redfin.com/CA/El-Cajon/1388-Hardin-Dr-92020/home/5612568,1388 Hardin Dr,El Cajon,CA,32.777874,-116.977255,Single Family Residential,92020,3,2,Mount Helix,2403,31799,1966,8,Garage,11/19/14,N,Y,FALSE,500000
140057779,779,http://www.redfin.com/CA/El-Cajon/309-Wisconsin-Ave-92020/home/5590303,309 Wisconsin,El Cajon,CA,32.79923,-116.965044,Single Family Residential,92020,3,1,El Cajon,975,6098,1949,3,Garage,12/29/14,N,Y,FALSE,315000
140028793,793,http://www.redfin.com/CA/El-Cajon/328-S-Sunshine-Ave-92020/home/5591649,328 S Sunshine Ave,El Cajon,CA,32.792224,-116.965219,Single Family Residential,92020,3,2,El Cajon,1458,12238,1944,5,Garage,7/3/14,N,Y,FALSE,347000
140056017,17,http://www.redfin.com/CA/El-Cajon/614-S-Sunshine-Ave-92020/home/5593125,614 Sunshine Ave,El Cajon,CA,32.788966,-116.965215,Single Family Residential,92020,3,1,El Cajon,990,15246,1950,4,Garage,12/23/14,N,Y,FALSE,312000
140054210,210,http://www.redfin.com/CA/El-Cajon/314-W-Chase-Ave-92020/home/5611218,314 W Chase Ave,El Cajon,CA,32.780668,-116.964805,Single Family Residential,92020,5,3,El Cajon,1797,10454,1949,5,Garage,4/29/15,N,Y,FALSE,375000
140042817,817,http://www.redfin.com/CA/El-Cajon/319-W-Chase-Ave-92020/home/5612758,319 W Chase Ave,El Cajon,CA,32.780101,-116.96535,Single Family Residential,92020,3,3,El Cajon,1456,10890,1955,6,,10/9/14,N,Y,FALSE,358000
150003515,515,http://www.redfin.com/CA/El-Cajon/476-Gardner-St-92020/home/5590042,476 Gardner,El Cajon,CA,32.79921,-116.96819,Single Family Residential,92020,3,1,El Cajon,1016,6900,1951,3,Garage,3/3/15,N,Y,FALSE,322500
140049314,314,http://www.redfin.com/CA/El-Cajon/483-Gardner-St-92020/home/5590073,483 Gardner St,El Cajon,CA,32.798671,-116.968358,Single Family Residential,92020,3,1,El Cajon,1016,6900,1951,3,Garage,11/13/14,N,Y,FALSE,327000
140062364,364,http://www.redfin.com/CA/El-Cajon/854-Lauree-St-92020/home/5609081,854 Lauree St,El Cajon,CA,32.784692,-116.968462,Single Family Residential,92020,3,2,El Cajon,1232,6900,1952,8,Garage,1/15/15,N,Y,FALSE,379000
140041781,781,http://www.redfin.com/CA/El-Cajon/449-Patricia-Ln-92020/home/5609149,449 Patricia Ln,El Cajon,CA,32.786469,-116.967318,Single Family Residential,92020,3,2,El Cajon,1232,9000,1960,4,Garage,10/27/14,N,Y,FALSE,365000
130051750,750,http://www.redfin.com/CA/El-Cajon/596-Morgan-Way-92020/home/5611121,596 Morgan Way,El Cajon,CA,32.782121,-116.968548,Single Family Residential,92020,4,2,El Cajon,1508,7500,1957,4,Garage,4/18/14,N,Y,FALSE,362000
140013594,594,http://www.redfin.com/CA/El-Cajon/477-Skyview-St-92020/home/5613753,477 Skyview St,El Cajon,CA,32.776469,-116.967556,Single Family Residential,92020,4,5,El Cajon,3309,14001,1980,5,Garage,6/24/14,N,Y,TRUE,455000
140042300,300,http://www.redfin.com/CA/El-Cajon/1028-Lillian-Ln-92020/home/5617534,1028 Lillian Ln,El Cajon,CA,32.7818411,-116.9527474,Single Family Residential,92020,3,3,El Cajon,1210,,1999,4,Garage,10/3/14,N,Y,FALSE,365000
140034325,325,http://www.redfin.com/CA/El-Cajon/935-S-Mollison-Ave-92020/home/5617660,935 S MOLLISON,EL CAJON,CA,32.783382,-116.950607,Single Family Residential,92020,3,1,El Cajon,810,7900,1954,1,Garage,8/4/14,N,Y,FALSE,240000
140060207,207,http://www.redfin.com/CA/El-Cajon/11375-Fuerte-Dr-92020/home/5635449,11375 Fuerte Dr,El Cajon,CA,32.761406,-116.94941,Single Family Residential,92020,6,3,El Cajon,2600,,1958,5,Garage,12/30/14,N,Y,FALSE,449000
140048562,562,http://www.redfin.com/CA/El-Cajon/5037-New-Ranch-Rd-92020/home/5637706,5037 NEW RANCH Rd,EL CAJON,CA,32.767844,-116.951569,Single Family Residential,92020,3,3,Mount Helix,2200,28750,1968,6,Garage,10/24/14,N,Y,FALSE,625000
140021627,627,http://www.redfin.com/CA/El-Cajon/11153-Valley-Lights-Dr-92020/home/5637743,11153 Valley Lights Dr,El Cajon,CA,32.767655,-116.950185,Single Family Residential,92020,4,4,Mount Helix,2614,24394,1972,2,Garage,5/30/14,N,Y,FALSE,645000
150001515,515,http://www.redfin.com/CA/El-Cajon/1317-Windridge-Dr-92020/home/5618956,1317 Windridge,El Cajon,CA,32.7783,-116.937052,Single Family Residential,92020,3,4,El Cajon,2880,53143,1964,7,,4/1/15,N,Y,FALSE,660000
150008360,360,http://www.redfin.com/CA/El-Cajon/1614-E-Chase-Ave-92020/home/5636682,1614 Chase Ave,El Cajon,CA,32.771088,-116.937481,Single Family Residential,92020,3,4,El Cajon,2243,33106,1955,13,Garage,3/26/15,N,Y,FALSE,620000
140003978,978,http://www.redfin.com/CA/El-Cajon/661-Jefferson-Ave-92020/home/5597011,661 Jefferson Ave,El Cajon,CA,32.78784,-116.960768,Single Family Residential,92020,3,2,El Cajon,1324,6900,1948,2,Garage,5/30/14,N,Y,FALSE,306000
