KEY,R3,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),ADDRESS,CITY,STATE,LATITUDE,LONGITUDE,HOME TYPE,ZIP,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,LAST SALE DATE,FAVORITE,INTERESTED,IS SHORT SALE,LAST SALE PRICE
150050495,495,http://www.redfin.com/CA/El-Cajon/1201-Vista-Del-Monte-Dr-92020/home/5618292,1201 Vista Del Monte Dr,El Cajon,CA,32.78122,-116.942369,Single Family Residential,92020,4,3,El Cajon,2500,234224,1980,7,Garage,1/16/2016,N,Y,FALSE,857000
160000863,863,http://www.redfin.com/CA/El-Cajon/930-Salina-St-92020/home/5617082,930 Salina St,El Cajon,CA,32.783793,-116.95479,Single Family Residential,92020,3,2,El Cajon,1232,6000,1958,4,Garage,2/24/2016,N,Y,FALSE,430000
150047602,602,http://www.redfin.com/CA/El-Cajon/1367-Sierra-Cir-92020/home/5612707,1367 Sierra Cir,El Cajon,CA,32.7778,-116.969007,Single Family Residential,92020,3,2,El Cajon,1543,6700,1952,4,Garage,10/9/2015,N,Y,FALSE,347000
150055332,332,http://www.redfin.com/CA/El-Cajon/1066-S-Johnson-Ave-92020/home/5610724,1066 S Johnson Ave,El Cajon,CA,32.781325,-116.970869,Single Family Residential,92020,4,2,El Cajon,1396,6900,1957,5,Garage,12/11/2015,N,Y,FALSE,316000
150032596,596,http://www.redfin.com/CA/El-Cajon/426-Manor-Dr-92020/home/5590151,426 Manor,El Cajon,CA,32.798338,-116.967186,Single Family Residential,92020,2,2,El Cajon,1507,5800,1953,6,Garage,10/16/2015,N,Y,FALSE,350000
150059586,586,http://www.redfin.com/CA/El-Cajon/431-Graves-Ave-92020/home/5594753,431 Graves Ave,El Cajon,CA,32.799738,-116.959891,Single Family Residential,92020,6,3,El Cajon,2674,,1947,6,Garage,2/9/2016,N,Y,FALSE,445000
150048540,540,http://www.redfin.com/CA/El-Cajon/834-E-Park-Ave-92020/home/5594854,834 E Park,El Cajon,CA,32.798388,-116.95222,Single Family Residential,92020,3,2,El Cajon,1675,6300,1957,4,Garage,11/9/2015,N,Y,FALSE,353500
150056305,305,http://www.redfin.com/CA/El-Cajon/1404-Bathurst-Pl-92020/home/5594250,1404 Bathurst,El Cajon,CA,32.798345,-116.981545,Single Family Residential,92020,4,3,El Cajon,2264,10000,1975,5,Garage,12/16/2015,N,Y,FALSE,587500
150044471,471,http://www.redfin.com/CA/El-Cajon/771-Live-Oak-Dr-92020/home/5591970,771 Live Oak,El Cajon,CA,32.785344,-116.983044,Single Family Residential,92020,4,3,El Cajon,1909,8600,1960,4,Garage,12/11/2015,N,Y,FALSE,555000
150025487,487,http://www.redfin.com/CA/El-Cajon/509-S-Sunshine-Ave-92020/home/5596697,509 S Sunshine Ave,El Cajon,CA,32.7902998,-116.9645806,Single Family Residential,92020,2,2,El Cajon,897,5300,1953,2,Garage,7/15/2015,N,Y,FALSE,315000
